UserNick,comment_time,content,auctionSku
王***6,2021/5/16 21:48,"吃过好多家螺狮粉，感觉还是这家的螺狮粉好吃，料多又好吃 ，包装的很好，内包装看起来都比较干净，口味道是我吃过最好吃的，米粉很耐煮，不易断，吃着很过瘾，非常接近在柳州的味道了&nbsp;，笋脆嫩不老，汤包味道挺浓郁,辣油很香值得购买，里面配菜也非常丰富，包装很精美，以后就只买这个了好吃",口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
胡***锐,2021/5/16 11:35,不知道吃啥的时候就来碗螺蛳粉～满满的料包和米粉，李子柒的螺蛳粉汤底浓厚，菜包很丰富，酸豆角真的很好吃，酸味更甚（我爱了！）酸笋很好吃，味道也更突出一些，配菜种类也很多，粉嗦起来很爽~更值得一夸的是他的汤底真的很好喝，而且包装后面有详细的煮法说明敲简单!很快就能拥有美味又好恰的螺蛳粉啦,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
一***1,2021/5/20 17:18,EM李子柒家💭的螺蛳粉，包装精美💭上档次，料多又好💭吃，口感味道很💭正宗，米粉提前⛱️凉水泡下，不易⛱️断，很好⛱️煮熟，汤汁⛱️浓郁，吃的很过🎃瘾，花生，腐竹配料🎃齐全，辣油也🎃很香，酸豆🔮角也好吃，会回🔮购的。⏰,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
平***1,2021/5/20 11:59,"YZ第一次购买没有🌁入坑,不熟,拍张照的功👃夫大半碗都被老公干光📝了。是款好吃的螺蛳粉👝,勺子很好用,酸笋木🔃耳都特别爽脆,嫂子很📎爱吃,有点甜。可是里⚠面有一包漏了,",口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***9,2021/5/18 22:23,"xa味道很浓郁但是🏭不是那种螺味儿很重的浓🚹郁,不粘,上头慢。真🚿的很好吃,快递物流很💵快哟真的非常好吃里面😣配菜也非常丰富,蛮不🍟错,送的配料很多,有🎲点甜。包装是完好的,🌲粉话都说小但我觉得还👖好的呀喜欢",口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
楚***s,2021/5/17 20:27,整体评价：一般 胀包问题：外包装完好，打开后内置调料包有辣椒油（过汤汁）渗出的情况。把手都染油了。 包装品质：一般 口感味道：不够辣，没有味道。腐竹也不是很好吃。 新鲜度：内置调料包有破损，不清楚是否新鲜。 总之下次不会再买了，和期待落差太大。螺蛳粉之间比较还是百草味家的合我胃口。喜欢吃辣的可以不用买这款了。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
老***部,2021/5/20 15:48,"就不知道选择什么牌🕛子,不熟,最后达成协议😝退一包钱给我。第一次🕠煮,不粘,不够辣,赶🕗紧联系客服。笋脆嫩不🌆老,很好吃的螺蛳粉。🐼把所有的料都放就去了🚮,硬度最明显,感觉值🍶。米粉很耐煮,更值得😱一夸的是他的汤底真的🚝很好喝,勺子很好用,😥",口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
不***斗,2021/5/15 11:16,太爱螺蛳粉了，刚到货就迫不及待的煮了一包，拍张照的功夫大半碗都被老公干光了。一家子爱吃螺蛳粉的。还是子柒的好吃，酸爽美味，浓郁的汤汁饱含螺蛳粉的精华,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***3,2021/5/13 11:15,收到立马煮了一份🎈同学强烈推荐的🎈🎈果然没让人失望🎈价格很实惠🎈比超市的便宜多了🎈🎈我煮的没有太久🎈🎈🎈螺蛳粉q弹q弹的🎈很有嚼劲🎈贼好吃啦🎈🎈满满的幸福感🎈🎈酸笋很嫩🎈配料也很丰富🎈②🎈加点鸡蛋青菜太完美了🎈对常年吃外卖的人来说🎈这实在太方便啦🎈🎈🎈比我这边实体店的要好吃🎈真的很赞哦🎈🎈🎈,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***1,2021/5/20 13:53,超级爱吃他家的螺丝粉，这次买的是给家里老人吃的，一直在这里买，一直吃这个。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
威***漫,2021/5/4 13:51,收到立🍝马煮了一份🍝同学强烈推荐的🍜果然没让人失望价格很实惠比超市的🍿便宜多了我煮的🍿🍿没有太久螺蛳粉q弹q弹的🍜很有嚼劲贼🍜好吃啦满满的幸福🍿感酸笋很嫩配料🍿也很丰富加点鸡蛋青菜太完美了于常年吃🍜外卖的人来说这实在太方便啦比我🍜18这边实体🍝🍝店的要好吃真的很赞哦,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
m***8,2021/5/16 13:45,听说过螺丝粉很多次，但是买，就不知道选择什么牌子，关注的快手主播，她吃的就是这个牌子，马上果断入手！第一回买，真的感觉不就一包粉，怎么这么贵，收到李子柒的螺蛳粉后，看着这么一大包，料还这么多，很新鲜，感觉值。带2孩子，都是不怎么吃这些奇怪的商品 ，一吃一发不可收拾，真的好吃，就是活动力度太小，4岁女儿也喜欢吃，虽然臭臭的，吃着香。第一次煮，把所有的料都放就去了，辣的无语，女儿没有吃几口，我吃觉得刚好合适的辣度，第二次就直接不放辣油，女儿很喜欢吃，粉不够，我煮了点面条放进去，也是非常好吃，第一次购买没有入坑，干净卫生，｡◕‿◕｡料都新鲜，味道好，值得推荐的商品。😁,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
h***2,2021/5/10 11:01,家里母亲大人居然称为臭粉，是款好吃的螺蛳粉，没想到2岁多的孩子居然也爱吃，送的配料很多，很满意了,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
湛***玲,2021/5/19 21:51,满满的一大包，一看就知道里面的配料很足，真的值得买,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
幸***爱,2021/5/19 16:48,买过很多次了，这次应该是最划算的价格，胡可直播间买的，和好欢螺价的对比过了，味道李子柒的淡一点，吃过不会很渴，不过酸度弱一点，腐竹脆度不够，面好煮熟，份量也是李子柒的更足一点，整体还没，口感上好欢螺确实优秀，李子柒也不差，性价比更高点,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
风***7,2021/5/20 20:09,整体评价：美味 口感味道：料很足，只是这次无意中看到粉里面有些黑色的小点点，不知道是什么原因造成的。一直吃的螺狮粉，希望厂家&ldquo;不忘初心&rdquo;的保证粉的卫生和质量，这样才会有很多的回头客。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
爱***7,2021/5/17 21:06,很喜欢！礼品也是很喜欢,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
今***辰,2021/5/20 13:06,整体评价：有一说一，味道还是不错的，闻起来味道确实有比较明显的螺蛳汤的味道，臭臭的，但吃起来是真的香，关键是价格实惠，也没有辣到不行的感觉，中度辣吧，我不太能吃辣,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
1***o,2021/5/18 10:11,#柒家美照达人#最爱螺狮粉了，家里只有三包螺狮粉又来屯了，自从在螺狮粉里加了西红柿以后基本上每次都会加西红柿，强烈推荐吃西红柿的人试试里面加点西红柿哦，去皮切丁炒成糊然后放水煮开其它的不变，真的好吃！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
利***3,2021/5/20 20:47,整体评价：包装非常好  不会胀包 新鲜度：日期非常新 包装品质：包装非常满意 口感味道：在超市买过一包  然后就迷上了  立刻淘宝回购  价钱也满意  比只投螺蛳粉好吃😋李子柒是我一直关注支持的！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
小***8,2021/5/17 13:31,"吃螺丝粉只买李子柒家的，[胜利]分量足好吃！真的不错哟，[坏笑]比线下买真的划算多了，[玫瑰]性价比很高，每次有活动，[庆祝]我都会回购，这个油很香，[玫瑰]不会很辣也不会很油腻，[跳跳]是我吃过的三款不同的螺蛳粉里，😘最好吃的了,值得购买💦 里面配菜也很多 粉QQ弹弹有劲[嘴唇] 非常不错",口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
萌***蛋,2021/5/18 12:17,第一次煮，米粉有点硬，汤味道很淡，米粉凉水泡过，一直以为是这款不好吃，结果第二煮非常好吃！米粉也不硬，😋方法如下：米粉凉水泡一下，然后凉水煮下锅沸腾后 把水倒掉些，然后加凉水（水少些！不然汤没味！）放料，加点香油！煮到沸腾，这个米粉要多煮会儿！最后起锅前加醋！真的绝了！大家觉得米粉硬的可以试试！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
h***8,2021/5/20 12:33,好吃，太上头了，分量真的很足，听朋友说很好吃，有活动就买了整整8大包，好大一箱，由于不吃辣，没有放一滴辣油，还是有点点微微辣，这个味道刚好，就是不吃辣感觉螺蛳粉在我手里没有灵魂,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
凸***丸,2021/5/19 21:11,味道可以  好吃  下次还买,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
星***丹,2021/5/19 18:48,整体评价：顺丰包邮，省心到货 胀包问题：，无胀包 口感味道：不吃辣的可不放辣包 一样鲜美 新鲜度：，日期五月,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
勤***5,2021/5/18 14:33,一直很喜欢螺蛳粉 虽然有那么一股子味道🤪首先分量很足 味道也还不错 不想吃那么辣可以少放一点油 因为是第一次买李子柒家的 就想着尝尝吧 好的话会继续下单 总体还是不错 。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
范***7,2021/5/18 15:36,李子柒螺蛳粉调料包非常十足，腐竹满满一大包，但是煮出来的味道，感觉没有我之前吃的别的牌子的味道浓郁，口感度有点达不到非常喜欢的味道，但是总体来说还是挺不错的。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***2,2021/5/18 19:21,份量足，味道好吃，比较辣,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
老***白,2021/5/18 9:08,吃过很多牌子的螺狮粉，也在实体店吃过味道也只是一般，最后还是选择了回购李子柒家的，配料丰富充实，汤料也很浓郁，味道也非常不错，值得拥有！！！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
6***类,2021/5/18 12:09,超级好吃料超多，真的是大大的满足感，色香味俱全，螺蛳粉爱好者的必备美味，没吃过李子柒哪里称得上称职的螺蛳粉狂魔魔，粉劲道有嚼劲，菜包量量很足，最爱的腐竹和花生是我个人最爱的的精华，腐竹可以吸收螺蛳粉的汤汁超级完美 。 包装品质：包装很好，每个调料都有自己独立的包装，超级干净卫生，大包装也是延续子柒家插画的特点，戳中我的审美，不光是新鲜美味颜值也很高 口感味道：酸，爽，脆，劲道，每个层次都有自己独特的享受，本来是个不爱吃螺蛳粉的人慢慢的爱上了这种迷人的味道。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
萤***4,2021/5/15 20:49,整体评价：巴适 胀包问题：没有 包装品质：可以 口感味道：买了好多次，最近感觉吃够了 新鲜度：生产日期蛮近的,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
l***1,2021/5/20 12:52,买了多次，一如既往的好。。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
1***盟,2021/5/19 18:06,整体评价：里面的配菜太多了，粉的份量太少了，我是来嘬粉的，结果满满一份都只看到咸菜了，酸笋好吃，如果比例调配一下，不要太多配菜，多配一点粉，就完美了 胀包问题：没有发现 口感味道：个人感觉吃起来挺鲜的，口感偏清淡一些,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
y***9,2021/5/19 20:46,整体评价：包装漂亮，料也足，第一次吃螺蛳粉感觉还是很美味的，也没有想象中的那么臭，配上两个荷包蛋，吃的好饱呀，推荐购买👍,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
十***i,2021/5/6 22:49,很好吃，喜欢，料多，比一般的料要多一些，很好吃的螺蛳粉。也很喜欢看李子柒的抖音，很有生活气息。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***9,2021/4/26 11:54,回购了好多次，🍭还是钟爱这款螺蛳粉辣味比较淡，🍈口味不重的可以。米粉的质量还不错。🐚发货日期就是生产日期，↙螺蛳粉汤料好，🏫它的粉挺多的👪吃完都撑得慌🐛真的很香😅性价比很高啦👆毕竟便宜啦‼好恰好恰🈷推荐购买！腐竹花生酥脆📃粉也很Q滑！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
夏***梨,2021/5/16 16:42,整体评价：收到货了，虽然出现了点意外，但客服及时解决，也让我心里舒服很多，凭良心说，李子柒螺蛳粉是真的好吃，我吃过大概近20个牌子的螺蛳粉了，李子柒是味道最好的，对我来说是最好吃的，价格虽然小贵一点点，但是味道真的没的说，料也很足，发货也很快，主要是客服售后让我很满意，以后会无限回购,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
陈***7,2021/5/20 10:26,很好吃的螺蛳粉，包装很好，味道赞，汤底浓厚，很好喝，配菜种类多，米粉可以多煮一会，煮好后满满的一大碗。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***8,2021/5/19 18:34,包装品质：是近期出产的，新鲜美味 口感味道：顺滑，Q弹。味道酸爽极了美味佳肴无需等待。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
